osm_id,code,fclass,name,type,center,area
191165508,1500,building,,residential,"(103.91600764, 103.91600764)",16.88671875
191165509,1500,building,,residential,"(103.91629804000002, 103.91629804000002)",17.76171875
191165511,1500,building,,residential,"(103.91536453333333, 103.91536453333333)",20.6796875
191967430,1500,building,,residential,"(103.82713095555555, 103.82713095555555)",5.5078125
192574856,1500,building,,residential,"(103.77542881428572, 103.77542881428572)",59.34765625
193804947,1500,building,Student Village,residential,"(103.61237865714286, 103.61237865714286)",56.2216796875
194080507,1500,building,405C,residential,"(103.87340033333334, 103.87340033333334)",12.658203125
194080900,1500,building,403A,residential,"(103.87318929999998, 103.87318929999998)",15.822265625
194080949,1500,building,405B,residential,"(103.87363115999999, 103.87363115999999)",14.9375
194081167,1500,building,405A,residential,"(103.87381954, 103.87381954)",14.841796875
194081199,1500,building,403B,residential,"(103.87296944999999, 103.87296944999999)",12.662109375
194081296,1500,building,404C,residential,"(103.87374489999999, 103.87374489999999)",15.7158203125
194082395,1500,building,404B,residential,"(103.87346312, 103.87346312)",16.3427734375
194082397,1500,building,403C,residential,"(103.87296210000002, 103.87296210000002)",16.2578125
194262451,1500,building,133,residential,"(103.77816415714287, 103.77816415714287)",31.87890625
194441601,1500,building,,residential,"(103.84436631999999, 103.84436631999999)",8.8671875
194441602,1500,building,,residential,"(103.8443878, 103.8443878)",18.775390625
194441603,1500,building,,residential,"(103.84393127999999, 103.84393127999999)",21.107421875
194441604,1500,building,,residential,"(103.84480527999999, 103.84480527999999)",12.322265625
194441605,1500,building,,residential,"(103.84458808571428, 103.84458808571428)",18.84765625
195520079,1500,building,,residential,"(103.87605005454544, 103.87605005454544)",16.146484375
195520142,1500,building,,residential,"(103.87618787272726, 103.87618787272726)",22.681640625
195520177,1500,building,,residential,"(103.87638746666669, 103.87638746666669)",15.3837890625
195520458,1500,building,,residential,"(103.87699699166667, 103.87699699166667)",14.2900390625
195520459,1500,building,,residential,"(103.87714036363637, 103.87714036363637)",18.22265625
196984300,1500,building,Rumah Merah,residential,"(118.38347350000001, 118.38347350000001)",13.01171875
198034554,1500,building,Beacon Heights,residential,"(103.8623708818182, 103.8623708818182)",24.3076171875
198101281,1500,building,,residential,"(103.86297866923077, 103.86297866923077)",26.09375
198101282,1500,building,,residential,"(103.86257243333334, 103.86257243333334)",4.6708984375
198404309,1500,building,Mayfair Gardens,residential,"(103.78142192, 103.78142192)",34.91796875
198404310,1500,building,Mayfair Gardens,residential,"(103.78178213999999, 103.78178213999999)",24.3154296875
198404311,1500,building,Mayfair Gardens,residential,"(103.78171222, 103.78171222)",22.6787109375
198404312,1500,building,The Blossomvale,residential,"(103.78243177142856, 103.78243177142856)",189.6953125
198404359,1500,building,,residential,"(103.78623910000002, 103.78623910000002)",42.185546875
198404360,1500,building,The Nexus,residential,"(103.78656937777777, 103.78656937777777)",139.4306640625
198404808,1500,building,Sixth Avenue Residences,residential,"(103.79291766206897, 103.79291766206897)",34.3310546875
198458407,1500,building,,residential,"(103.84382299444444, 103.84382299444444)",20.0927734375
199764765,1500,building,274B,residential,"(103.70322134054054, 103.70322134054054)",26.0205078125
201114027,1500,building,,residential,"(103.83199316, 103.83199316)",4.4443359375
201114028,1500,building,,residential,"(103.83155698, 103.83155698)",5.158203125
201114029,1500,building,,residential,"(103.8316652, 103.8316652)",5.12890625
201114031,1500,building,,residential,"(103.83164953999999, 103.83164953999999)",4.634765625
201114032,1500,building,,residential,"(103.83124803999999, 103.83124803999999)",3.763671875
201114033,1500,building,,residential,"(103.83123546000002, 103.83123546000002)",3.7626953125
201114035,1500,building,,residential,"(103.83209784, 103.83209784)",4.6025390625
201114036,1500,building,,residential,"(103.83213531428571, 103.83213531428571)",4.1162109375
201114037,1500,building,,residential,"(103.83202672857144, 103.83202672857144)",4.845703125
201114038,1500,building,,residential,"(103.83180284285716, 103.83180284285716)",4.48828125
201114039,1500,building,,residential,"(103.83186471428571, 103.83186471428571)",4.9775390625
201114040,1500,building,,residential,"(103.83205528571428, 103.83205528571428)",3.6728515625
201114041,1500,building,,residential,"(103.83204128571427, 103.83204128571427)",4.642578125
201114042,1500,building,,residential,"(103.83129427142856, 103.83129427142856)",3.9296875
201114043,1500,building,,residential,"(103.83161237142858, 103.83161237142858)",5.5263671875
201114044,1500,building,,residential,"(103.83230392857142, 103.83230392857142)",3.669921875
201114045,1500,building,,residential,"(103.83213951428571, 103.83213951428571)",4.9609375
201114046,1500,building,,residential,"(103.83151414285715, 103.83151414285715)",5.4169921875
201114048,1500,building,,residential,"(103.83238470000002, 103.83238470000002)",4.9599609375
201114049,1500,building,,residential,"(103.83226927142857, 103.83226927142857)",4.84765625
201114050,1500,building,,residential,"(103.8318154, 103.8318154)",3.5810546875
201114051,1500,building,,residential,"(103.8318927857143, 103.8318927857143)",4.0927734375
201114052,1500,building,,residential,"(103.83130100000001, 103.83130100000001)",5.86328125
201114053,1500,building,,residential,"(103.83228644285714, 103.83228644285714)",4.5078125
201114054,1500,building,,residential,"(103.83127185714285, 103.83127185714285)",5.0908203125
201114055,1500,building,,residential,"(103.83153802857143, 103.83153802857143)",4.8466796875
201114056,1500,building,,residential,"(103.83236931428573, 103.83236931428573)",4.544921875
201114057,1500,building,,residential,"(103.83155434285713, 103.83155434285713)",4.9189453125
201114058,1500,building,,residential,"(103.83139330000002, 103.83139330000002)",4.890625
201114059,1500,building,,residential,"(103.83127992857142, 103.83127992857142)",3.884765625
