distance,driving_time,grid_id,status,supermarket_id
25039.0,2712.0,35,OK,9
33235.0,3494.0,35,OK,10
29512.0,3071.0,35,OK,11
33158.0,3372.0,35,OK,12
29761.0,3041.0,35,OK,13
30553.0,3053.0,35,OK,14
30525.0,3013.0,35,OK,15
31217.0,3173.0,35,OK,16
27391.0,2724.0,35,OK,17
26851.0,2844.0,35,OK,18
32984.0,3338.0,35,OK,19
31027.0,3181.0,35,OK,22
30792.0,3130.0,35,OK,31
30982.0,3115.0,35,OK,33
31157.0,3167.0,35,OK,34
26528.0,2753.0,35,OK,35
29498.0,3022.0,35,OK,36
27273.0,2975.0,35,OK,38
30522.0,3036.0,35,OK,39
20871.0,2609.0,65,OK,0
19366.0,2479.0,65,OK,1
19023.0,2449.0,65,OK,2
22327.0,2885.0,65,OK,3
26630.0,3236.0,65,OK,4
18378.0,2310.0,65,OK,5
19220.0,2426.0,65,OK,6
24925.0,3070.0,65,OK,7
25378.0,3059.0,65,OK,8
26496.0,3201.0,65,OK,9
16575.0,2087.0,65,OK,10
21122.0,2629.0,65,OK,11
16990.0,2152.0,65,OK,12
21297.0,2640.0,65,OK,13
18313.0,2282.0,65,OK,14
19366.0,2479.0,65,OK,15
18347.0,2304.0,65,OK,16
24516.0,2926.0,65,OK,17
25002.0,3096.0,65,OK,18
16388.0,2045.0,65,OK,19
18401.0,2316.0,65,OK,22
19193.0,2450.0,65,OK,31
19133.0,2441.0,65,OK,33
18689.0,2349.0,65,OK,34
24653.0,3044.0,65,OK,35
21033.0,2622.0,65,OK,36
24146.0,2997.0,65,OK,38
19260.0,2463.0,65,OK,39
20871.0,2609.0,66,OK,0
19366.0,2479.0,66,OK,1
19023.0,2449.0,66,OK,2
22327.0,2885.0,66,OK,3
26630.0,3236.0,66,OK,4
18378.0,2310.0,66,OK,5
19220.0,2426.0,66,OK,6
24925.0,3070.0,66,OK,7
25378.0,3059.0,66,OK,8
26496.0,3201.0,66,OK,9
16575.0,2087.0,66,OK,10
21122.0,2629.0,66,OK,11
16990.0,2152.0,66,OK,12
21297.0,2640.0,66,OK,13
18313.0,2282.0,66,OK,14
19366.0,2479.0,66,OK,15
18347.0,2304.0,66,OK,16
24516.0,2926.0,66,OK,17
25002.0,3096.0,66,OK,18
16388.0,2045.0,66,OK,19
18401.0,2316.0,66,OK,22
19193.0,2450.0,66,OK,31
19133.0,2441.0,66,OK,33
18689.0,2349.0,66,OK,34
24653.0,3044.0,66,OK,35
21033.0,2622.0,66,OK,36
24146.0,2997.0,66,OK,38
19260.0,2463.0,66,OK,39
20662.0,2460.0,67,OK,0
19157.0,2330.0,67,OK,1
18814.0,2300.0,67,OK,2
22118.0,2737.0,67,OK,3
26422.0,3087.0,67,OK,4
18169.0,2162.0,67,OK,5
19011.0,2277.0,67,OK,6
24716.0,2922.0,67,OK,7
25170.0,2911.0,67,OK,8
26287.0,3053.0,67,OK,9
16366.0,1938.0,67,OK,10
20914.0,2480.0,67,OK,11
16781.0,2004.0,67,OK,12
21088.0,2492.0,67,OK,13
18104.0,2133.0,67,OK,14
19157.0,2330.0,67,OK,15
18138.0,2155.0,67,OK,16
24307.0,2777.0,67,OK,17
24793.0,2947.0,67,OK,18
16179.0,1896.0,67,OK,19
18192.0,2167.0,67,OK,22
18984.0,2301.0,67,OK,31
18924.0,2292.0,67,OK,33
18480.0,2200.0,67,OK,34
24444.0,2895.0,67,OK,35
20824.0,2473.0,67,OK,36
23937.0,2849.0,67,OK,38
19051.0,2314.0,67,OK,39
21676.0,2507.0,68,OK,0
20171.0,2376.0,68,OK,1
19828.0,2346.0,68,OK,2
23132.0,2783.0,68,OK,3
27435.0,3134.0,68,OK,4
19183.0,2208.0,68,OK,5
20024.0,2323.0,68,OK,6
25730.0,2968.0,68,OK,7
26183.0,2957.0,68,OK,8
27301.0,3099.0,68,OK,9
17380.0,1984.0,68,OK,10
21927.0,2527.0,68,OK,11
17794.0,2050.0,68,OK,12
22102.0,2538.0,68,OK,13
19117.0,2179.0,68,OK,14
20171.0,2376.0,68,OK,15
19152.0,2201.0,68,OK,16
25321.0,2823.0,68,OK,17
25806.0,2993.0,68,OK,18
17193.0,1942.0,68,OK,19
19206.0,2214.0,68,OK,22
19997.0,2347.0,68,OK,31
19938.0,2338.0,68,OK,33
19494.0,2246.0,68,OK,34
25458.0,2941.0,68,OK,35
21838.0,2519.0,68,OK,36
