left,top,right,bottom,id,district
11154054.94,610925.2518,11155054.94,609925.2518,172,
11154054.94,609925.2518,11155054.94,608925.2518,173,Barat Daya
11154054.94,608925.2518,11155054.94,607925.2518,174,Barat Daya
11154054.94,607925.2518,11155054.94,606925.2518,175,Barat Daya
11154054.94,606925.2518,11155054.94,605925.2518,176,Barat Daya
11154054.94,605925.2518,11155054.94,604925.2518,177,Barat Daya
11154054.94,604925.2518,11155054.94,603925.2518,178,Barat Daya
11154054.94,603925.2518,11155054.94,602925.2518,179,Barat Daya
11154054.94,602925.2518,11155054.94,601925.2518,180,Barat Daya
11154054.94,601925.2518,11155054.94,600925.2518,181,Barat Daya
11154054.94,600925.2518,11155054.94,599925.2518,182,Barat Daya
11154054.94,599925.2518,11155054.94,598925.2518,183,Barat Daya
11154054.94,598925.2518,11155054.94,597925.2518,184,Barat Daya
11154054.94,597925.2518,11155054.94,596925.2518,185,Barat Daya
11154054.94,596925.2518,11155054.94,595925.2518,186,Barat Daya
11154054.94,595925.2518,11155054.94,594925.2518,187,Barat Daya
11154054.94,594925.2518,11155054.94,593925.2518,188,Barat Daya
11154054.94,593925.2518,11155054.94,592925.2518,189,Barat Daya
11154054.94,592925.2518,11155054.94,591925.2518,190,Barat Daya
11154054.94,591925.2518,11155054.94,590925.2518,191,Barat Daya
11154054.94,590925.2518,11155054.94,589925.2518,192,Barat Daya
11154054.94,589925.2518,11155054.94,588925.2518,193,Barat Daya
11154054.94,588925.2518,11155054.94,587925.2518,194,Barat Daya
11154054.94,587925.2518,11155054.94,586925.2518,195,
11154054.94,586925.2518,11155054.94,585925.2518,196,
11154054.94,585925.2518,11155054.94,584925.2518,197,
11154054.94,584925.2518,11155054.94,583925.2518,198,
11154054.94,583925.2518,11155054.94,582925.2518,199,
11154054.94,582925.2518,11155054.94,581925.2518,200,
11154054.94,581925.2518,11155054.94,580925.2518,201,
11154054.94,580925.2518,11155054.94,579925.2518,202,
11154054.94,579925.2518,11155054.94,578925.2518,203,
11154054.94,578925.2518,11155054.94,577925.2518,204,
11154054.94,577925.2518,11155054.94,576925.2518,205,
11154054.94,576925.2518,11155054.94,575925.2518,206,
11154054.94,575925.2518,11155054.94,574925.2518,207,
11154054.94,574925.2518,11155054.94,573925.2518,208,
11154054.94,573925.2518,11155054.94,572925.2518,209,
11154054.94,572925.2518,11155054.94,571925.2518,210,
11154054.94,571925.2518,11155054.94,570925.2518,211,
11154054.94,570925.2518,11155054.94,569925.2518,212,
11155054.94,622925.2518,11156054.94,621925.2518,213,
11155054.94,621925.2518,11156054.94,620925.2518,214,
11155054.94,620925.2518,11156054.94,619925.2518,215,
11155054.94,619925.2518,11156054.94,618925.2518,216,
11155054.94,618925.2518,11156054.94,617925.2518,217,
11155054.94,617925.2518,11156054.94,616925.2518,218,
11155054.94,616925.2518,11156054.94,615925.2518,219,
11155054.94,615925.2518,11156054.94,614925.2518,220,
11155054.94,614925.2518,11156054.94,613925.2518,221,
11155054.94,613925.2518,11156054.94,612925.2518,222,
