id,name,type,area,center_lng,center_lat
2468,,apartments,47.786732266274896,100.49392187999999,5.3381317600000004
2469,,apartments,48.180883086785,100.4938994,5.33807406
2470,,apartments,81.20684326295196,100.49389802,5.338019439999999
2471,,apartments,79.77517697370217,100.493872825,5.337960649999999
2472,,apartments,82.16930573074578,100.49385155,5.3379062
2473,,apartments,86.09442443678657,100.4940221,5.338342750000001
2474,,apartments,82.50317527729014,100.494044325,5.33839875
2475,,apartments,66.5849492573634,100.49415407500001,5.338350475
2476,,apartments,68.06826271541068,100.49413522500001,5.338301950000001
2477,,apartments,68.06244731332555,100.492852675,5.338449925
2478,,apartments,66.40196708262148,100.492834975,5.338401175
2479,,apartments,53.55684594449882,100.49285176666666,5.338237566666667
2480,,apartments,68.33124876702708,100.49281335,5.33834165
2481,,apartments,65.4189261274779,100.49280571999999,5.33829038
2482,,apartments,67.69010219529545,100.49278264,5.338226400000001
2483,,apartments,66.64962012028124,100.49275557499999,5.338182325
2484,,apartments,67.99406758500969,100.492734525,5.3381248999999995
2485,,apartments,66.56184477560767,100.49271660000001,5.33807605
2486,,apartments,82.67071718664985,100.49282720000001,5.338029825
2487,,apartments,80.90966621807783,100.49284735,5.33808475
2488,,apartments,80.6991680994403,100.49286745999999,5.33814514
2489,,apartments,47.94490505431922,100.4929022,5.3381861399999995
2490,,apartments,48.54269054276087,100.49292361999998,5.338244260000001
2491,,apartments,81.20242460349908,100.49292418,5.33829886
2492,,apartments,79.8708086494969,100.492948275,5.338358100000001
2493,,apartments,82.14264885473756,100.4929685,5.338412925
2494,,apartments,86.0308724598238,100.492806325,5.337973249999999
2495,,apartments,82.48251178259535,100.49278514999999,5.337916875
2496,,apartments,66.51194867222868,100.4926745,5.337963074999999
2497,,apartments,68.04411187713588,100.492692425,5.338011925
2498,,apartments,68.66001809738479,100.492808175,5.3370981749999995
2499,,apartments,66.05472159653377,100.49275546,5.33712074
2500,,apartments,68.33008630422637,100.49269106,5.337144740000001
2501,,apartments,66.823824480559,100.49263607500001,5.33716215
2502,,apartments,67.39514604458762,100.49253165999998,5.33720024
2503,,apartments,67.31099635677373,100.49248838333334,5.337218749999999
2504,,apartments,66.65650749835325,100.49241422,5.337247200000001
2505,,apartments,66.32287824056192,100.492359925,5.337264575
2506,,apartments,66.69834699837475,100.49237036000001,5.33712652
2507,,apartments,67.29484074659666,100.49231695,5.3371483500000005
2508,,apartments,66.36089986210298,100.49249412500001,5.337082925
2509,,apartments,65.74725268407444,100.49243953999999,5.337101039999999
2510,,apartments,64.94008774910313,100.49264766,5.3370237000000005
2511,,apartments,65.82412583819664,100.4925944,5.337045850000001
2512,,apartments,62.982743736906535,100.49276594999999,5.3369825
2513,,apartments,63.43333723788778,100.4927123,5.33699986
2514,B1,apartments,66.40895306650013,100.49256457,5.33711985
2515,,apartments,12.929308572341476,100.49238725000001,5.3371882
2516,,apartments,12.956764060705385,100.49273787499999,5.337057325
2517,,apartments,20.905965617315758,100.492687475,5.337032125
2518,,apartments,24.358775031357517,100.4924129,5.3371352
2519,,apartments,25.997113538684207,100.492441325,5.337213575
2520,,apartments,22.25706904270782,100.492716175,5.337111950000001
2521,,apartments,67.40167794782408,100.49235200000001,5.33670756
2522,,apartments,67.27964652375297,100.49237108333334,5.336750433333333
2523,,apartments,66.59788438064673,100.4924005,5.33682396
2524,,apartments,66.37541960983646,100.492418625,5.336877775
2525,,apartments,67.18604174518497,100.49230235000002,5.3369219
2526,,apartments,66.73113339900735,100.49227984000001,5.336869000000001
2527,,apartments,12.884774365555154,100.49234157500001,5.3368514750000005
2528,B2,apartments,66.46884350832444,100.49227086,5.3366757300000005
2529,,apartments,65.664803642463,100.49225344,5.336800439999999
2530,,apartments,66.47315323808017,100.492234575,5.3367463
2531,,apartments,65.89030205834311,100.4921962,5.336646900000001
2532,,apartments,64.91181698734717,100.49217334,5.33659412
2533,,apartments,66.8782355746439,100.4923125,5.3366040749999994
2534,,apartments,68.31762870987292,100.49229434,5.336549539999999
2535,,apartments,66.12869623299666,100.49226956,5.33648568
2536,,apartments,68.65182583157812,100.492246225,5.3364334499999995
2537,,apartments,12.933024488674048,100.4922061,5.336503925000001
2538,,apartments,63.55140218776536,100.49214866,5.33653008
2539,,apartments,63.02511601724697,100.492130575,5.336476875
2540,,apartments,20.881983871310897,100.492181375,5.336554400000001
2541,,apartments,24.334234054203318,100.49228805,5.33682655
2542,,apartments,26.00860580775245,100.49236640000001,5.336797375
2543,,apartments,22.23006940835321,100.49226115,5.336524925
2544,,apartments,67.39294239084732,100.4929885,5.3364833
2545,,apartments,67.31236767066764,100.49300758333334,5.336526166666668
2546,,apartments,66.71870083315642,100.49303699999999,5.3365997
2547,,apartments,66.25471346318372,100.49305512500001,5.336653525
2548,,apartments,67.28717877799119,100.49293887500001,5.336697675
2549,,apartments,66.67236573808492,100.49291634,5.33664476
2550,,apartments,12.908036800345277,100.492978075,5.336627249999999
2551,B4,apartments,66.48089764396072,100.49290736,5.33645151
2552,,apartments,65.724113256084,100.49288993999998,5.336576180000001
2553,,apartments,66.35479138986992,100.49287107500001,5.33652205
2554,,apartments,65.81999771940391,100.4928327,5.336422675
2555,,apartments,64.98118207165128,100.49280983999999,5.33636988
2556,,apartments,66.92736653270508,100.49294900000001,5.3363798000000005
2557,,apartments,68.29100293582988,100.49293084,5.33632526
2558,,apartments,66.01792228728448,100.49290606,5.3362614399999995
2559,,apartments,68.72421519636234,100.492882725,5.336209225
2560,,apartments,12.909709792183191,100.4928426,5.33627965
2561,,apartments,63.52977167470773,100.49278518000001,5.336305780000001
2562,,apartments,63.02513905056005,100.492767075,5.336252575
2563,,apartments,20.911850247480157,100.492817875,5.336330125
2564,,apartments,24.362621079387505,100.49292455,5.336602325
2565,,apartments,25.977954597179473,100.4930029,5.3365731
2566,,apartments,22.27461888090276,100.49289764999999,5.33630065
2567,,apartments,67.39202182036772,100.49264178,5.3364382599999995
2568,,apartments,67.03704592561634,100.49259856666667,5.33645675
2569,,apartments,66.71396350535471,100.49252432,5.33648522
2570,,apartments,66.15059433234482,100.492470075,5.3365026
2571,,apartments,67.22348546750601,100.492427125,5.33638635
2572,,apartments,66.55734116487105,100.49248301666667,5.336361333333333
2573,B3,apartments,12.937467931218302,100.492497325,5.3364262
2574,,apartments,12.98577306815562,100.492576375,5.336396725
2575,,apartments,65.91013850347873,100.49254956,5.336339120000001
2576,,apartments,66.40891668986147,100.4926042,5.336320925
2577,,apartments,24.201861854630064,100.49252287499999,5.336373275000001
2578,,apartments,26.206712164067337,100.49255155,5.336451525
2579,,apartments,854.212097796845,100.493145,5.23513295
2580,,apartments,854.2122783666698,100.4929921,5.23500075
2581,,apartments,975.6173399959052,100.492795275,5.2355182749999996
2582,,apartments,854.2118052724364,100.4926729,5.23534705
2583,,apartments,2124.2518723709063,100.405901375,5.51425075
2584,,apartments,2263.188777011643,100.40563403333334,5.514786616666666
2585,,apartments,1180.3136173610012,100.4056788625,5.5138653125
2586,,residential,1304.775411306651,100.46234728,5.35998774
2587,,apartments,578.4947673928576,100.29852525,5.42532845
2588,,apartments,732.3796736700175,100.50512005,5.212037925
2589,,apartments,886.3107333397571,100.50522265,5.21179085
2590,,apartments,726.4585141056708,100.4747021,5.278181675
2591,,apartments,1944.1980203310522,100.4743219,5.277640175
2592,,apartments,726.2051462437707,100.4749764,5.2781089
2593,,apartments,285.2745108565132,100.4748121,5.276688675000001
2594,Millennium Tower,apartments,634.5921155479966,100.314045075,5.434347499999999
2595,,apartments,563.2693751433695,100.44256659999999,5.361962800000001
2596,,apartments,512.7670410104519,100.44255855,5.3624034
2597,,apartments,573.7988579236882,100.44415645000001,5.32967325
2598,Taman Sri Perak,apartments,2171.8479823763087,100.31355636666666,5.397719616666667
2599,Taman Sri Hijau,apartments,1761.7325275293847,100.31375535833332,5.397108808333333
2600,,apartments,1293.821405947351,100.501741375,5.3259609999999995
2601,Desa Delima,apartments,1915.7617498984862,100.2805424,5.383267425
2602,,residential,1503.8738222070394,100.317241225,5.362893675
2603,,residential,1408.1340590423224,100.31722415,5.363765175
2604,Sri Merpati Block A,apartments,1343.2188624528355,100.26327962499998,5.313222425
2605,Sri Merpati Block G,apartments,476.2881932089659,100.26221325,5.3125160750000004
2606,Pangsapuri Seri Jaya,apartments,938.5657767627667,100.47272716,5.3501159000000005
2607,,apartments,2316.783632311165,100.42431009999999,5.29693415
2608,,apartments,1794.1589640856619,100.490090425,5.310740825
2609,,apartments,1673.180813682632,100.48976912500001,5.3107676
2610,,apartments,1673.6681178225554,100.4904724,5.310751575
2611,Tower B&C,apartments,7123.5722932536055,100.29558915714287,5.449332357142858
2612,,apartments,647.8567039478771,100.29816685,5.4497313625
2613,,apartments,591.0436470246118,100.29844188999999,5.449796400000001
2614,Tower A,apartments,1184.831737445147,100.295667775,5.448808475
2615,,apartments,2750.534897611392,100.29550065,5.449401433333333
2616,,apartments,2783.438984227719,100.29703808333333,5.448644133333333
2617,,apartments,1542.7778779862012,100.29209413333335,5.45201165
2618,,apartments,1581.9194139894798,100.29270039999999,5.45168362
2619,,apartments,1284.26466205137,100.48381090000001,5.352200099999999
2620,The Retreat,apartments,757.6468306538642,100.483818125,5.3520318499999995
2621,,apartments,925.2111458483851,100.49316769999999,5.3291727
2622,,apartments,1037.2134628147019,100.48093045,5.33857535
2623,,apartments,991.7585660123907,100.38446462499999,5.4289217
2624,,apartments,1419.1925399648478,100.3850246125,5.4287638750000005
2625,,apartments,1489.6455879936357,100.40607607500002,5.372726725
2626,KPKT PPR Mak Mandin,apartments,755.4803744334514,100.39236724999999,5.4211668
2627,,apartments,174.30507308115907,100.3105765,5.3564563750000005
2628,,apartments,174.17339672809155,100.31069235000001,5.3563475
2629,,apartments,174.24895245714376,100.310699275,5.356180825
2630,,apartments,174.20192302713485,100.31034815,5.3558252
2631,,apartments,174.31203848677814,100.31050745,5.355827375
2632,,apartments,174.30262789232853,100.310625775,5.3559455
2633,,apartments,568.0883745774735,100.3975306,5.4285209000000005
2634,,apartments,567.6979270490084,100.39763642499999,5.4285197
2635,,apartments,567.2174178324104,100.39772665000001,5.428524449999999
2636,,apartments,567.3063304368048,100.39743435,5.4292153999999995
2637,,apartments,567.6972697431876,100.397523375,5.4292178
2638,,apartments,568.0877179984976,100.3976304,5.4292178
2639,,apartments,567.6972675831121,100.39772182499999,5.4292202
2640,,apartments,707.4765180897557,100.39751634999999,5.430093025000001
